"Allow transactions to expire after given time (in minutes 1 - 1440)","Określ czas, po którym transakcja wygasa (wartość w minutach od 1 do 1440). Podanie wartości spoza przedziału jest równoznaczne z niepodaniem wartości"
"Allow user to select payment method in checkout","Pozwól na wybór metody płatności na stronie zamówienia"
"Api Key - Sandbox","Klucz dostępu do API dla środowiska Sandbox"
"Api Key","Klucz dostępu do API"
"Cancel order","Anuluj zamówienie"
"Enabled","Aktywna"
"Finish transaction","Dokończ transakcję"
"Installed version of Paynow_PaymentGateway is up to date (%s)","Zainstalowana wersja wtyczki Paynow_PaymentGateway jest aktualna (%s)"
"Installed version: %s, newest version: %s","Zainstalowana wersja: %s, najnowsza wersja: %s"
"INSUFFICIENT_BALANCE_FUNDS","Niewystarczająca ilość dostępnych środków"
"INSUFFICIENT_CARD_BALANCE_FUNDS","Niewystarczająca ilość dostępnych środków (dla płatności kartą)"
"Maximum Order Total","Maksymalna suma zamówienia"
"Minimum Order Total","Minimalna suma zamówienia"
"New Order Status","Status dla nowego zamówienia"
"New Paynow_PaymentGateway plugin version available","Dostępna jest nowa wersja wtyczki Paynow_PaymentGateway"
"New transaction cannot be created","Nie można utworzyć nowej transakcji"
"New transaction","Nowa transakcja"
"No","Nie"
"NOT_FOUND","Wystąpił błąd (404)"
"Notified customer about invoice #%s.","Klient został poinformowany o fakturze #%s"
"Order #%s cancelled successfully!","Twoje zamówienie nr #%s zostało anulowane!"
"Order #%s from %s","Zamówienie nr #%s ze sklepu %s"
"Order not provided","Nie znaleziono zamówienia"
"Payment from Applicable Countries","Płatność z odpowiednich krajów"
"Payment from Specific Countries","Płatność z określonych krajów"
"PAYMENT_AMOUNT_TOO_LARGE","Kwota płatności jest zbyt duża"
"PAYMENT_AMOUNT_TOO_SMALL","Kwota płatności jest zbyt mała"
"PAYMENT_METHOD_NOT_AVAILABLE","Wybrana metoda płatności jest niedostępna"
"paynow refund - amount: %s, status: %s","Zwrot paynow - kwota: %s, status: %s"
"paynow store config has been updated!","Konfiguracja sklepu paynow została zaktualizowana!"
"paynow","paynow"
"Please select payment method","Musisz wybrać metodę płatności"
"Plugin version not found","Nie znaleziono wersji wtyczki"
"Re-try","Opłać zamówienie"
"Refund ID","Numer zwrotu"
"REFUND_AMOUNT_TOO_LARGE","Kwota zworotu jest zbyt duża"
"REFUND_AMOUNT_TOO_SMALL","Kwota zwrotu jest zbyt mała"
"REFUND_POSSIBILITY_EXPIRED","Wygasła możliwość dokonania zwrotu online"
"Refunded amount of %s online.","Dokonano zwrotu %s online"
"Registered notification about captured amount of %s.","Zarejestrowano powiadomienie o przejętej kwocie %s."
"Sandbox mode","Tryb testowy (Sandbox)"
"Security key does not match order","Klucz bezpieczeństwa jest niepoprawny"
"Security key or order id not provided","Nie podano klucza bezpieczeństwa lub identyfikatora zamówienia"
"Selected method","Wybrana metoda"
"Send cart data to paynow","Wysyłaj informację o zawartości koszyka do paynow"
"Signature key - Sandbox","Klucz obliczania podpisu dla środowiska Sandbox"
"Signature key","Klucz obliczania podpisu"
"Something went wrong during Paynow_PaymentGateway version lookup. Details: %s","Wystąpił problem podczas sprawdzania dostępności aktualizacji dla wtyczki Paynow_PaymentGateway. Szczegóły: %s"
"Sort Order","Kolejność sortowania"
"SYSTEM_TEMPORARILY_UNAVAILABLE","paynow jest tymczasowo niedostępne"
"The transaction has been canceled by user.","Transakcja została anulowana przez użytkownika."
"The transaction has been canceled.","Transakcja została anulowana."
"There was a problem updating store config in paynow: %s","Nie udało się zaktualizować konfiguracji sklepu w paynow. Powód: %s"
"Title","Tytuł"
"Transaction completed successfully.","Transakcja została zatwierdzona."
"Transaction ID: ""%s""","ID Transakcji: ""%s"""
"Transaction registered.","Zarejestrowano nową transakcję."
"Transaction","Transakcja"
"Try again later","Spróbuj ponownie później."
"UNAUTHORIZED","Wystąpił błąd (403)"
"VALIDATION_ERROR","Wystąpił błąd (422)"
"VERIFICATION_FAILED","Wystąpił błąd (401)"
"Yes","Tak"
"You will be redirected to paynow after submitting the order.","Po złożeniu zamówienia zostaniesz przekierowany do paynow w celu dokończenia płatności.",
